key,timestamp,temperature,humidity
H5074_office,2025-01-05 03:45:13,25.07,38.95
H5074_office,2025-01-05 03:45:33,25.04,38.85
H5074_office,2025-01-05 03:45:49,24.98,38.89
H5074_office,2025-01-05 03:46:07,25.04,38.87
H5074_office,2025-01-05 03:46:23,25.03,38.98
H5074_office,2025-01-05 03:46:39,25.03,38.96
H5074_office,2025-01-05 03:46:57,24.98,39.01
H5074_office,2025-01-05 03:47:14,25.02,39.12
H5074_office,2025-01-05 03:47:30,24.98,39.07
H5074_office,2025-01-05 03:47:46,25.04,39.01
H5074_office,2025-01-05 03:48:06,25.03,39.01
H5074_office,2025-01-05 03:48:22,25.06,39.01
H5074_office,2025-01-05 03:48:38,25.04,38.95
H5074_office,2025-01-05 03:48:54,24.99,38.94
H5074_office,2025-01-05 03:49:10,24.99,38.91
H5074_office,2025-01-05 03:49:26,25.04,39.03
H5074_office,2025-01-05 03:49:42,25.04,38.97
H5074_office,2025-01-05 03:49:58,24.99,38.92
H5074_office,2025-01-05 03:50:16,25.01,39.0
H5074_office,2025-01-05 03:50:33,25.03,38.86
H5074_office,2025-01-05 03:50:49,25.04,38.95
H5074_office,2025-01-05 03:51:07,25.02,38.95
H5074_office,2025-01-05 03:51:23,25.03,38.94
H5074_office,2025-01-05 03:51:41,25.02,38.97
H5074_office,2025-01-05 03:51:57,25.04,38.88
H5074_office,2025-01-05 03:52:13,25.0,38.93
H5074_office,2025-01-05 03:52:29,25.0,38.94
H5074_office,2025-01-05 03:52:45,24.99,38.84
H5074_office,2025-01-05 03:53:03,25.01,38.89
H5074_office,2025-01-05 03:53:19,24.98,38.86
H5074_office,2025-01-05 03:53:39,24.97,38.91
H5074_office,2025-01-05 03:53:55,24.96,38.86
H5074_office,2025-01-05 03:54:12,24.96,38.99
H5074_office,2025-01-05 03:54:28,24.96,38.94
H5074_office,2025-01-05 03:54:44,25.01,38.85
H5074_office,2025-01-05 03:55:02,24.98,38.86
H5074_office,2025-01-05 03:55:20,24.93,38.8
H5074_office,2025-01-05 03:55:36,24.95,38.86
H5074_office,2025-01-05 03:55:52,25.02,38.88
H5074_office,2025-01-05 03:56:08,25.0,38.76
H5074_office,2025-01-05 03:56:24,24.96,38.91
H5074_office,2025-01-05 03:56:40,25.0,38.87
H5074_office,2025-01-05 03:56:56,25.04,38.76
H5074_office,2025-01-05 03:57:12,24.97,38.72
H5074_office,2025-01-05 03:57:28,24.95,38.74
H5074_office,2025-01-05 03:57:49,24.97,38.8
H5074_office,2025-01-05 03:58:05,25.0,38.77
H5074_office,2025-01-05 03:58:21,24.98,38.73
H5074_office,2025-01-05 03:58:37,24.94,38.75
H5074_office,2025-01-05 03:58:55,24.94,38.82
H5074_office,2025-01-05 03:59:11,24.95,38.86
H5074_office,2025-01-05 03:59:27,24.93,38.78
H5074_office,2025-01-05 03:59:43,25.02,38.72
H5074_office,2025-01-05 04:00:01,24.98,38.78
H5074_office,2025-01-05 04:00:17,25.0,38.81
H5074_office,2025-01-05 04:00:33,24.95,38.64
H5074_office,2025-01-05 04:00:49,24.97,38.75
H5074_office,2025-01-05 04:01:06,25.03,38.81
H5074_office,2025-01-05 04:01:22,25.02,38.73
H5074_office,2025-01-05 04:01:38,25.04,38.69
H5074_office,2025-01-05 04:01:54,24.96,38.58
H5074_office,2025-01-05 04:02:10,24.98,38.6
H5074_office,2025-01-05 04:02:26,24.93,38.68
H5074_office,2025-01-05 04:02:46,24.9,38.66
H5074_office,2025-01-05 04:03:02,24.95,38.67
H5074_office,2025-01-05 04:03:18,24.9,38.67
H5074_office,2025-01-05 04:03:34,24.9,38.7
H5074_office,2025-01-05 04:03:50,24.9,38.63
H5074_office,2025-01-05 04:04:06,24.89,38.68
H5074_office,2025-01-05 04:04:23,24.9,38.74
H5074_office,2025-01-05 04:04:39,24.93,38.72
H5074_office,2025-01-05 04:04:55,24.95,38.69
H5074_office,2025-01-05 04:05:11,24.94,38.66
H5074_office,2025-01-05 04:05:27,24.9,38.62
H5074_office,2025-01-05 04:05:43,24.97,38.66
H5074_office,2025-01-05 04:06:01,24.92,38.67
H5074_office,2025-01-05 04:06:17,24.9,38.58
H5074_office,2025-01-05 04:06:33,24.9,38.64
H5074_office,2025-01-05 04:06:49,24.88,38.65
H5074_office,2025-01-05 04:07:05,24.9,38.74
H5074_office,2025-01-05 04:07:21,24.87,38.66
H5074_office,2025-01-05 04:07:39,24.88,38.68
H5074_office,2025-01-05 04:07:58,24.92,38.65
H5074_office,2025-01-05 04:08:14,24.9,38.61
H5074_office,2025-01-05 04:08:30,24.88,38.56
H5074_office,2025-01-05 04:08:48,24.88,38.67
H5074_office,2025-01-05 04:09:04,24.88,38.74
H5074_office,2025-01-05 04:09:20,24.87,38.69
H5074_office,2025-01-05 04:09:38,24.9,38.63
H5074_office,2025-01-05 04:09:54,24.87,38.62
H5074_office,2025-01-05 04:10:12,24.88,38.68
H5074_office,2025-01-05 04:10:30,24.89,38.79
H5074_office,2025-01-05 04:10:46,24.85,38.8
H5074_office,2025-01-05 04:11:04,24.87,38.87
H5074_office,2025-01-05 04:11:20,24.86,38.93
H5074_office,2025-01-05 04:11:37,24.87,38.81
H5074_office,2025-01-05 04:11:53,24.86,38.83
H5074_office,2025-01-05 04:12:09,24.91,39.04
H5074_office,2025-01-05 04:12:27,24.85,38.82
H5074_office,2025-01-05 04:12:43,24.86,38.91
H5074_office,2025-01-05 04:12:59,24.86,38.87
H5074_office,2025-01-05 04:13:15,24.85,38.91
H5074_office,2025-01-05 04:13:31,24.87,38.9
H5074_office,2025-01-05 04:13:47,24.87,38.86
H5074_office,2025-01-05 04:14:03,24.86,38.88
H5074_office,2025-01-05 04:14:19,24.85,38.98
H5074_office,2025-01-05 04:14:39,24.83,38.95
H5074_office,2025-01-05 04:14:56,24.79,38.94
H5074_office,2025-01-05 04:15:12,24.82,39.01
H5074_office,2025-01-05 04:15:28,24.83,39.01
H5074_office,2025-01-05 04:15:46,24.83,38.98
H5074_office,2025-01-05 04:16:02,24.82,38.97
H5074_office,2025-01-05 04:16:18,24.78,38.88
H5074_office,2025-01-05 04:16:36,24.8,38.96
H5074_office,2025-01-05 04:16:52,24.83,38.94
H5074_office,2025-01-05 04:17:08,24.82,38.98
H5074_office,2025-01-05 04:17:26,24.79,38.99
H5074_office,2025-01-05 04:17:44,24.82,38.97
H5074_office,2025-01-05 04:18:00,24.83,38.93
H5074_office,2025-01-05 04:18:16,24.85,38.92
H5074_office,2025-01-05 04:18:33,24.84,38.8
H5074_office,2025-01-05 04:18:53,24.81,38.85
H5074_office,2025-01-05 04:19:09,24.84,38.88
H5074_office,2025-01-05 04:19:27,24.8,38.93
H5074_office,2025-01-05 04:19:43,24.79,38.91
H5074_office,2025-01-05 04:19:59,24.82,38.95
H5074_office,2025-01-05 04:20:15,24.83,38.96
H5074_office,2025-01-05 04:20:33,24.81,38.92
H5074_office,2025-01-05 04:20:49,24.82,38.99
H5074_office,2025-01-05 04:21:05,24.8,38.98
H5074_office,2025-01-05 04:21:21,24.82,39.0
H5074_office,2025-01-05 04:21:37,24.77,38.92
H5074_office,2025-01-05 04:21:54,24.71,38.98
H5074_office,2025-01-05 04:22:10,24.8,39.06
H5074_office,2025-01-05 04:22:26,24.83,39.07
H5074_office,2025-01-05 04:22:44,24.84,38.88
H5074_office,2025-01-05 04:23:00,24.85,38.93
H5074_office,2025-01-05 04:23:16,24.83,38.97
H5074_office,2025-01-05 04:23:32,24.83,38.83
H5074_office,2025-01-05 04:23:48,24.76,38.75
H5074_office,2025-01-05 04:24:04,24.78,38.81
H5074_office,2025-01-05 04:24:20,24.73,38.83
H5074_office,2025-01-05 04:24:36,24.78,38.98
H5074_office,2025-01-05 04:24:52,24.8,38.83
H5074_office,2025-01-05 04:25:08,24.81,38.89
H5074_office,2025-01-05 04:25:27,24.73,38.8
H5074_office,2025-01-05 04:25:49,24.68,38.89
H5074_office,2025-01-05 04:26:05,24.75,38.9
H5074_office,2025-01-05 04:26:21,24.71,38.86
H5074_office,2025-01-05 04:26:37,24.76,39.05
H5074_office,2025-01-05 04:26:55,24.73,38.81
H5074_office,2025-01-05 04:27:11,24.71,38.79
H5074_office,2025-01-05 04:27:29,24.73,38.91
H5074_office,2025-01-05 04:27:45,24.76,38.81
H5074_office,2025-01-05 04:28:01,24.81,38.82
H5074_office,2025-01-05 04:28:17,24.8,38.86
H5074_office,2025-01-05 04:28:33,24.82,38.81
H5074_office,2025-01-05 04:28:52,24.81,38.71
H5074_office,2025-01-05 04:29:08,24.83,38.8
H5074_office,2025-01-05 04:29:24,24.8,38.71
H5074_office,2025-01-05 04:29:42,24.72,38.6
H5074_office,2025-01-05 04:29:58,24.68,38.76
H5074_office,2025-01-05 04:30:14,24.69,38.78
H5074_office,2025-01-05 04:30:30,24.7,38.81
H5074_office,2025-01-05 04:30:46,24.77,38.84
H5074_office,2025-01-05 04:31:02,24.71,38.66
H5074_office,2025-01-05 04:31:18,24.68,38.73
H5074_office,2025-01-05 04:31:34,24.73,38.84
H5074_office,2025-01-05 04:31:50,24.67,38.63
H5074_office,2025-01-05 04:32:06,24.71,38.77
H5074_office,2025-01-05 04:32:27,24.75,38.76
H5074_office,2025-01-05 04:32:43,24.69,38.6
H5074_office,2025-01-05 04:32:59,24.69,38.59
H5074_office,2025-01-05 04:33:17,24.73,38.7
H5074_office,2025-01-05 04:33:35,24.73,38.61
H5074_office,2025-01-05 04:33:53,24.61,38.62
H5074_office,2025-01-05 04:34:09,24.65,38.62
H5074_office,2025-01-05 04:34:27,24.64,38.69
H5074_office,2025-01-05 04:34:43,24.68,38.66
H5074_office,2025-01-05 04:34:59,24.63,38.67
H5074_office,2025-01-05 04:35:15,24.62,38.65
H5074_office,2025-01-05 04:35:31,24.64,38.68
H5074_office,2025-01-05 04:35:50,24.71,38.8
